datetime,id,open,high,low,close,volume,open_oi,close_oi,symbol,duration
2025-10-21 09:05:00,827990.0,8342.0,8346.0,8336.0,8338.0,2811.0,507882.0,508445.0,KQ.m@DCE.y,60
2025-10-21 09:06:00,827991.0,8338.0,8340.0,8336.0,8336.0,1014.0,508445.0,508635.0,KQ.m@DCE.y,60
2025-10-21 09:07:00,827992.0,8336.0,8340.0,8336.0,8338.0,590.0,508635.0,508701.0,KQ.m@DCE.y,60
2025-10-21 09:08:00,827993.0,8338.0,8342.0,8338.0,8338.0,818.0,508701.0,508804.0,KQ.m@DCE.y,60
2025-10-21 09:09:00,827994.0,8338.0,8340.0,8334.0,8338.0,806.0,508804.0,508816.0,KQ.m@DCE.y,60
2025-10-21 09:10:00,827995.0,8338.0,8340.0,8336.0,8336.0,1129.0,508816.0,509375.0,KQ.m@DCE.y,60
2025-10-21 09:11:00,827996.0,8336.0,8338.0,8336.0,8336.0,804.0,509375.0,509497.0,KQ.m@DCE.y,60
2025-10-21 09:12:00,827997.0,8336.0,8338.0,8336.0,8338.0,369.0,509497.0,509520.0,KQ.m@DCE.y,60
2025-10-21 09:13:00,827998.0,8338.0,8338.0,8334.0,8334.0,473.0,509520.0,509516.0,KQ.m@DCE.y,60
2025-10-21 09:14:00,827999.0,8334.0,8338.0,8330.0,8332.0,992.0,509516.0,509247.0,KQ.m@DCE.y,60
2025-10-21 09:15:00,828000.0,8332.0,8334.0,8330.0,8332.0,772.0,509247.0,509160.0,KQ.m@DCE.y,60
2025-10-21 09:16:00,828001.0,8332.0,8336.0,8330.0,8336.0,661.0,509160.0,509386.0,KQ.m@DCE.y,60
2025-10-21 09:17:00,828002.0,8336.0,8338.0,8334.0,8334.0,308.0,509386.0,509436.0,KQ.m@DCE.y,60
2025-10-21 09:18:00,828003.0,8334.0,8336.0,8330.0,8332.0,570.0,509436.0,509409.0,KQ.m@DCE.y,60
2025-10-21 09:19:00,828004.0,8332.0,8334.0,8330.0,8334.0,240.0,509409.0,509446.0,KQ.m@DCE.y,60
2025-10-21 09:20:00,828005.0,8334.0,8342.0,8334.0,8340.0,1707.0,509446.0,510065.0,KQ.m@DCE.y,60
